Indicator,Algeria_Value,Percentile,Countries_Below,Total_Countries
Edu_Completion_Primary completion rate_Male_% of relevant age group_2022,93.0,29.694323144104807,68,229
Edu_Completion_Primary completion rate_Female_% of relevant age group_2022,95.0,34.06113537117904,78,229
Edu_Completion_Lower secondary completion rate_Male_% of relevant age group_2022,60.0,17.03056768558952,39,229
Edu_Completion_Lower secondary completion rate_Female_% of relevant age group_2022,90.0,34.06113537117904,78,229
Edu_Completion_Youth literacy rate_Male_% of ages 15-24_2016-23,97.0,27.510917030567683,63,229
Edu_Completion_Youth literacy rate_Female_% of ages 15-24_2016-23,98.0,28.38427947598253,65,229
Edu_Completion_Adult literacy rate_Male_% ages 15 and older_2016-23,93.0,26.200873362445414,60,229
Edu_Completion_Adult literacy rate_Female_% ages 15 and older_2016-23,74.0,17.903930131004365,41,229
Edu_Completion_Students at lowest proficiency on PISA_Mathematics_% of 15 year-olds_2018,51.0,98.2532751091703,225,229
Edu_Completion_Students at lowest proficiency on PISA_Science_% of 15 year-olds_2018,4.0,94.32314410480349,216,229
