algorithm,silhouette,davies_bouldin,calinski_harabasz
K-Means,0.9656465997552345,0.1620487932911724,1150.3202304399586
Hierarchical,0.9656465997552345,0.1620487932911724,1150.3202304399586
DBSCAN,,,
